file, #v, #c
cnf/soos/s344_3_2.cnf.gz.no_w.cnf, 197, 464
cnf/soos/leader_sync4_2.pm_5steps_7int_1fract_elected_over.dimacs.gz.no_w.cnf, 24962, 13391
cnf/soos/or-70-5-9-UC-30.cnf.gz.no_w.cnf, 140, 350
cnf/soos/02A-1.cnf.gz.no_w.cnf, 2226, 8579
cnf/soos/blasted_case110.cnf.gz.no_w.cnf, 287, 1263
cnf/soos/12B-2.cnf.gz.no_w.cnf, 30710, 138634
cnf/soos/or-70-5-5-UC-20.cnf.gz.no_w.cnf, 140, 350
cnf/soos/75-21-6-q.cnf.gz.no_w.cnf, 2121, 3360
cnf/soos/75-24-7-q.cnf.gz.no_w.cnf, 2784, 4416
cnf/soos/modexp8-6-4.cnf.gz.no_w.cnf, 121457, 480686
cnf/soos/blasted_case7.cnf.gz.no_w.cnf, 116, 365
cnf/soos/or-70-20-10-UC-10.cnf.gz.no_w.cnf, 140, 350
cnf/soos/or-60-20-9-UC-40.cnf.gz.no_w.cnf, 120, 300
cnf/soos/90-26-7-q.cnf.gz.no_w.cnf, 3276, 5200
cnf/soos/or-50-20-10-UC-10.cnf.gz.no_w.cnf, 100, 250
cnf/soos/modexp8-6-2.cnf.gz.no_w.cnf, 122033, 503630
cnf/soos/75-23-9-q.cnf.gz.no_w.cnf, 2553, 4048
cnf/soos/UserServiceImpl.sk_8_32.cnf.gz.no_w.cnf, 1509, 5009
cnf/soos/modexp8-8-1.cnf.gz.no_w.cnf, 158705, 576206
cnf/soos/15A-3.cnf.gz.no_w.cnf, 16585, 71024
cnf/soos/or-50-10-5-UC-10.cnf.gz.no_w.cnf, 100, 250
cnf/soos/or-70-10-3-UC-30.cnf.gz.no_w.cnf, 140, 350
cnf/soos/90-18-9-q.cnf.gz.no_w.cnf, 1548, 2448
cnf/soos/or-70-5-4-UC-30.cnf.gz.no_w.cnf, 140, 350
cnf/soos/or-70-10-5-UC-40.cnf.gz.no_w.cnf, 140, 350
cnf/soos/blasted_case_3_b14_2.cnf.gz.no_w.cnf, 270, 805
cnf/soos/17A-4.cnf.gz.no_w.cnf, 17979, 76871
cnf/soos/90-22-10-q.cnf.gz.no_w.cnf, 2332, 3696
cnf/soos/leader_sync4_11.pm_5steps_7int_4fract_elected_under.dimacs.gz.no_w.cnf, 47341, 23469
cnf/soos/75-17-4-q.cnf.gz.no_w.cnf, 1377, 2176
cnf/soos/blasted_case118.cnf.gz.no_w.cnf, 309, 1367
cnf/soos/or-70-20-9-UC-20.cnf.gz.no_w.cnf, 140, 350
cnf/soos/crowds.pm_15steps_8int_7fract_PCTL_TotalRuns=10_CrowdSize=20under.dimacs.gz.no_w.cnf, 464703, 354019
cnf/soos/or-50-10-3-UC-10.cnf.gz.no_w.cnf, 100, 250
cnf/soos/or-70-10-2-UC-10.cnf.gz.no_w.cnf, 140, 350
cnf/soos/min-28s.cnf.gz.no_w.cnf, 3933, 13118
cnf/soos/90-46-3-q.cnf.gz.no_w.cnf, 10396, 16560
cnf/soos/brp.pm_14steps_8int_8fract_p1_N=16_MAX=2under.dimacs.gz.no_w.cnf, 80710, 44900
cnf/soos/or-50-20-5-UC-40.cnf.gz.no_w.cnf, 100, 250
cnf/soos/75-14-3-q.cnf.gz.no_w.cnf, 924, 1456
cnf/soos/or-50-10-4-UC-20.cnf.gz.no_w.cnf, 100, 250
cnf/soos/or-60-20-10-UC-10.cnf.gz.no_w.cnf, 120, 300
cnf/soos/prod-2.cnf.gz.no_w.cnf, 3769, 18686
cnf/soos/02B-5.cnf.gz.no_w.cnf, 37627, 166769
cnf/soos/90-22-5-q.cnf.gz.no_w.cnf, 2332, 3696
cnf/soos/90-20-2-q.cnf.gz.no_w.cnf, 1920, 3040
cnf/soos/IterationService.sk_12_27.cnf.gz.no_w.cnf, 1896, 6732
cnf/soos/or-100-20-6-UC-20.cnf.gz.no_w.cnf, 200, 500
cnf/soos/tableBasedAddition.sk_240_1024.cnf.gz.no_w.cnf, 1026, 961
cnf/soos/or-100-20-4.cnf.gz.no_w.cnf, 200, 500
cnf/soos/min-20s.cnf.gz.no_w.cnf, 2821, 9374
cnf/soos/Pollard.sk_1_10.cnf.gz.no_w.cnf, 7815, 41258
cnf/soos/90-14-1-q.cnf.gz.no_w.cnf, 924, 1456
cnf/soos/hash-10-6.cnf.gz.no_w.cnf, 471921, 1896964
cnf/soos/or-70-10-3-UC-40.cnf.gz.no_w.cnf, 140, 350
cnf/soos/tire-1.cnf.gz.no_w.cnf, 352, 1038
cnf/soos/12B-6.cnf.gz.no_w.cnf, 83818, 381298
cnf/soos/hash-13-8.cnf.gz.no_w.cnf, 612185, 2456949
cnf/soos/90-25-6-q.cnf.gz.no_w.cnf, 3025, 4800
cnf/soos/75-15-2-q.cnf.gz.no_w.cnf, 1065, 1680
cnf/soos/or-60-5-5-UC-40.cnf.gz.no_w.cnf, 120, 300
cnf/soos/or-70-5-10-UC-10.cnf.gz.no_w.cnf, 140, 350
cnf/soos/blasted_squaring28.cnf.gz.no_w.cnf, 1060, 3839
cnf/soos/or-100-5-5-UC-30.cnf.gz.no_w.cnf, 200, 500
cnf/soos/12A-3.cnf.gz.no_w.cnf, 6442, 24589
cnf/soos/90-24-7-q.cnf.gz.no_w.cnf, 2784, 4416
cnf/soos/90-30-4-q.cnf.gz.no_w.cnf, 4380, 6960
cnf/soos/blasted_case106.cnf.gz.no_w.cnf, 204, 509
cnf/soos/75-25-9-q.cnf.gz.no_w.cnf, 3025, 4800
cnf/soos/leader_sync4_11.pm_5steps_7int_8fract_elected_under.dimacs.gz.no_w.cnf, 80376, 42689
cnf/soos/or-60-5-10-UC-20.cnf.gz.no_w.cnf, 120, 300
cnf/soos/leader_sync6_2.pm_7steps_7int_1fract_elected_over.dimacs.gz.no_w.cnf, 48831, 26364
cnf/soos/or-60-10-9-UC-10.cnf.gz.no_w.cnf, 120, 300
cnf/soos/90-23-3-q.cnf.gz.no_w.cnf, 2553, 4048
cnf/soos/50-14-7-q.cnf.gz.no_w.cnf, 924, 1456
cnf/soos/75-23-6-q.cnf.gz.no_w.cnf, 2553, 4048
cnf/soos/10B-5.cnf.gz.no_w.cnf, 61510, 277569
cnf/soos/hash-13-3.cnf.gz.no_w.cnf, 617541, 2493167
cnf/soos/blasted_case25.cnf.gz.no_w.cnf, 68, 195
cnf/soos/or-100-10-5-UC-50.cnf.gz.no_w.cnf, 200, 500
cnf/soos/prod-8.cnf.gz.no_w.cnf, 14953, 74702
cnf/soos/brp.pm_14steps_14int_8fract_p1_N=4000_MAX=4over.dimacs.gz.no_w.cnf, 115889, 70842
cnf/soos/or-70-5-10-UC-20.cnf.gz.no_w.cnf, 140, 350
cnf/soos/90-26-5-q.cnf.gz.no_w.cnf, 3276, 5200
cnf/soos/55.sk_3_46.cnf.gz.no_w.cnf, 3128, 12145
cnf/soos/75-23-1-q.cnf.gz.no_w.cnf, 2553, 4048
cnf/soos/or-50-20-6-UC-40.cnf.gz.no_w.cnf, 100, 250
cnf/soos/or-100-5-6-UC-10.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-60-5-4-UC-40.cnf.gz.no_w.cnf, 120, 300
cnf/soos/leader_sync6_64.pm_7steps_7int_6fract_elected_over.dimacs.gz.no_w.cnf, 325393, 180554
cnf/soos/90-16-8-q.cnf.gz.no_w.cnf, 1216, 1920
cnf/soos/brp.pm_14steps_12int_8fract_p1_N=1000_MAX=4under.dimacs.gz.no_w.cnf, 105265, 63340
cnf/soos/blasted_case_2_b12_2.cnf.gz.no_w.cnf, 827, 2725
cnf/soos/or-50-5-10-UC-10.cnf.gz.no_w.cnf, 100, 250
cnf/soos/NotificationServiceImpl2.sk_10_36.cnf.gz.no_w.cnf, 3540, 13425
cnf/soos/blasted_case56.cnf.gz.no_w.cnf, 202, 722
cnf/soos/min-16.cnf.gz.no_w.cnf, 3065, 8526
cnf/soos/or-100-10-1-UC-30.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-100-5-7-UC-50.cnf.gz.no_w.cnf, 200, 500
cnf/soos/90-22-7-q.cnf.gz.no_w.cnf, 2332, 3696
cnf/soos/or-60-10-10-UC-10.cnf.gz.no_w.cnf, 120, 300
cnf/soos/03B-3.cnf.gz.no_w.cnf, 21445, 94560
cnf/soos/log-3.cnf.gz.no_w.cnf, 1413, 29487
cnf/soos/or-100-10-1.cnf.gz.no_w.cnf, 200, 500
cnf/soos/leader_sync4_64.pm_5steps_7int_6fract_elected_under.dimacs.gz.no_w.cnf, 159847, 86861
cnf/soos/or-100-20-2-UC-20.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-60-10-1-UC-10.cnf.gz.no_w.cnf, 120, 300
cnf/soos/or-100-5-1-UC-40.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-60-5-3-UC-20.cnf.gz.no_w.cnf, 120, 300
cnf/soos/or-60-10-3-UC-20.cnf.gz.no_w.cnf, 120, 300
cnf/soos/or-70-20-3.cnf.gz.no_w.cnf, 140, 350
cnf/soos/hash16-12.cnf.gz.no_w.cnf, 1370369, 5798978
cnf/soos/tire-3.cnf.gz.no_w.cnf, 577, 2004
cnf/soos/or-70-5-5-UC-10.cnf.gz.no_w.cnf, 140, 350
cnf/soos/or-60-5-7-UC-30.cnf.gz.no_w.cnf, 120, 300
cnf/soos/90-21-8-q.cnf.gz.no_w.cnf, 2121, 3360
cnf/soos/hash-8-3.cnf.gz.no_w.cnf, 380041, 1534262
cnf/soos/15B-5.cnf.gz.no_w.cnf, 89413, 411447
cnf/soos/90-50-5-q.cnf.gz.no_w.cnf, 12300, 19600
cnf/soos/min-12.cnf.gz.no_w.cnf, 2281, 6338
cnf/soos/90-26-6-q.cnf.gz.no_w.cnf, 3276, 5200
cnf/soos/or-50-20-10-UC-30.cnf.gz.no_w.cnf, 100, 250
cnf/soos/hash-10-4.cnf.gz.no_w.cnf, 471321, 1892764
cnf/soos/or-50-20-8-UC-40.cnf.gz.no_w.cnf, 100, 250
cnf/soos/or-50-10-6.cnf.gz.no_w.cnf, 100, 250
cnf/soos/75-15-7-q.cnf.gz.no_w.cnf, 1065, 1680
cnf/soos/or-100-5-6-UC-40.cnf.gz.no_w.cnf, 200, 500
cnf/soos/egl.pm_100steps_6int_1fract_unfairA_N=7_L=2over.dimacs.gz.no_w.cnf, 7594746, 5723616
cnf/soos/or-100-5-1.cnf.gz.no_w.cnf, 200, 500
cnf/soos/75-19-7-q.cnf.gz.no_w.cnf, 1729, 2736
cnf/soos/75-20-10-q.cnf.gz.no_w.cnf, 1920, 3040
cnf/soos/egl.pm_100steps_6int_1fract_unfairA_N=10_L=4under.dimacs.gz.no_w.cnf, 7695558, 5729026
cnf/soos/90-26-4-q.cnf.gz.no_w.cnf, 3276, 5200
cnf/soos/or-60-20-4-UC-20.cnf.gz.no_w.cnf, 120, 300
cnf/soos/or-70-20-2.cnf.gz.no_w.cnf, 140, 350
cnf/soos/s526_3_2.cnf.gz.no_w.cnf, 365, 943
cnf/soos/crowds_big.pm_15steps_8int_7fract_PCTL_TotalRuns=10_CrowdSize=40over.dimacs.gz.no_w.cnf, 2, 1
cnf/soos/07B-5.cnf.gz.no_w.cnf, 53280, 240342
cnf/soos/07A-3.cnf.gz.no_w.cnf, 7709, 31302
cnf/soos/or-100-20-4-UC-30.cnf.gz.no_w.cnf, 200, 500
cnf/soos/blasted_case143.cnf.gz.no_w.cnf, 427, 1592
cnf/soos/or-100-10-7-UC-50.cnf.gz.no_w.cnf, 200, 500
cnf/soos/11B-3.cnf.gz.no_w.cnf, 46999, 213475
cnf/soos/75-26-3-q.cnf.gz.no_w.cnf, 3276, 5200
cnf/soos/brp.pm_14steps_30int_8fract_p1_N=100000000_MAX=4over.dimacs.gz.no_w.cnf, 277812, 203814
cnf/soos/ActivityService2.sk_10_27.cnf.gz.no_w.cnf, 1952, 6867
cnf/soos/crowds_big.pm_15steps_8int_7fract_PCTL_TotalRuns=10_CrowdSize=40under.dimacs.gz.no_w.cnf, 2, 1
cnf/soos/90-18-5-q.cnf.gz.no_w.cnf, 1548, 2448
cnf/soos/or-70-5-9-UC-40.cnf.gz.no_w.cnf, 140, 350
cnf/soos/or-100-10-9-UC-50.cnf.gz.no_w.cnf, 200, 500
cnf/soos/hash-13-1.cnf.gz.no_w.cnf, 612549, 2459679
cnf/soos/or-60-5-2-UC-10.cnf.gz.no_w.cnf, 120, 300
cnf/soos/90-50-4-q.cnf.gz.no_w.cnf, 12300, 19600
cnf/soos/s38584_3_2.cnf.gz.no_w.cnf, 23405, 57394
cnf/soos/90-12-1-q.cnf.gz.no_w.cnf, 672, 1056
cnf/soos/IssueServiceImpl.sk_8_30.cnf.gz.no_w.cnf, 1393, 4319
cnf/soos/09B-1.cnf.gz.no_w.cnf, 16295, 73441
cnf/soos/brp.pm_14steps_14int_8fract_p1_N=3000_MAX=4over.dimacs.gz.no_w.cnf, 115866, 70349
cnf/soos/90-19-1-q.cnf.gz.no_w.cnf, 1729, 2736
cnf/soos/or-70-10-4.cnf.gz.no_w.cnf, 140, 350
cnf/soos/s420_15_7.cnf.gz.no_w.cnf, 366, 994
cnf/soos/or-60-20-1-UC-40.cnf.gz.no_w.cnf, 120, 300
cnf/soos/or-100-10-1-UC-50.cnf.gz.no_w.cnf, 200, 500
cnf/soos/90-30-3-q.cnf.gz.no_w.cnf, 4380, 6960
cnf/soos/or-100-20-2-UC-60.cnf.gz.no_w.cnf, 200, 500
cnf/soos/10B-3.cnf.gz.no_w.cnf, 38450, 172953
cnf/soos/or-50-5-1-UC-20.cnf.gz.no_w.cnf, 100, 250
cnf/soos/90-38-6-q.cnf.gz.no_w.cnf, 7068, 11248
cnf/soos/or-60-10-1-UC-40.cnf.gz.no_w.cnf, 120, 300
cnf/soos/blasted_squaring6.cnf.gz.no_w.cnf, 885, 2809
cnf/soos/90-34-10-q.cnf.gz.no_w.cnf, 5644, 8976
cnf/soos/lss.sk_6_7.cnf.gz.no_w.cnf, 82362, 259552
cnf/soos/min-24.cnf.gz.no_w.cnf, 4561, 12782
cnf/soos/blasted_squaring10.cnf.gz.no_w.cnf, 1099, 3632
cnf/soos/or-70-5-1-UC-30.cnf.gz.no_w.cnf, 140, 350
cnf/soos/blasted_case_2_b12_even3.cnf.gz.no_w.cnf, 4157, 13049
cnf/soos/75-25-7-q.cnf.gz.no_w.cnf, 3025, 4800
cnf/soos/blasted_case61.cnf.gz.no_w.cnf, 282, 753
cnf/soos/90-16-10-q.cnf.gz.no_w.cnf, 1216, 1920
cnf/soos/modexp8-5-7.cnf.gz.no_w.cnf, 105873, 432334
cnf/soos/modexp8-5-3.cnf.gz.no_w.cnf, 104433, 393854
cnf/soos/blasted_case103.cnf.gz.no_w.cnf, 32, 86
cnf/soos/90-21-7-q.cnf.gz.no_w.cnf, 2121, 3360
cnf/soos/or-70-20-4-UC-40.cnf.gz.no_w.cnf, 140, 350
cnf/soos/75-15-1-q.cnf.gz.no_w.cnf, 1065, 1680
cnf/soos/17B-3.cnf.gz.no_w.cnf, 33147, 148992
cnf/soos/min-8.cnf.gz.no_w.cnf, 1545, 4230
cnf/soos/90-20-6-q.cnf.gz.no_w.cnf, 1920, 3040
cnf/soos/GuidanceService.sk_4_27.cnf.gz.no_w.cnf, 988, 3088
cnf/soos/50-12-1-q.cnf.gz.no_w.cnf, 672, 1056
cnf/soos/50-20-4-q.cnf.gz.no_w.cnf, 1920, 3040
cnf/soos/12A-4.cnf.gz.no_w.cnf, 8307, 31742
cnf/soos/30.sk_5_76.cnf.gz.no_w.cnf, 29621, 112297
cnf/soos/or-50-20-4-UC-10.cnf.gz.no_w.cnf, 100, 250
cnf/soos/or-70-5-8.cnf.gz.no_w.cnf, 140, 350
cnf/soos/s1488_3_2.cnf.gz.no_w.cnf, 854, 2423
cnf/soos/or-50-5-4-UC-30.cnf.gz.no_w.cnf, 100, 250
cnf/soos/09B-6.cnf.gz.no_w.cnf, 80920, 370746
cnf/soos/75-10-7-q.cnf.gz.no_w.cnf, 460, 720
cnf/soos/08B-3.cnf.gz.no_w.cnf, 33058, 148668
cnf/soos/13A-4.cnf.gz.no_w.cnf, 16491, 71469
cnf/soos/or-50-20-8-UC-10.cnf.gz.no_w.cnf, 100, 250
cnf/soos/blasted_squaring29.cnf.gz.no_w.cnf, 1141, 4248
cnf/soos/or-50-5-7-UC-40.cnf.gz.no_w.cnf, 100, 250
cnf/soos/90-17-10-q.cnf.gz.no_w.cnf, 1377, 2176
cnf/soos/s838_15_7.cnf.gz.no_w.cnf, 685, 1774
cnf/soos/modexp8-7-4.cnf.gz.no_w.cnf, 141681, 560798
cnf/soos/90-26-8-q.cnf.gz.no_w.cnf, 3276, 5200
cnf/soos/90-17-5-q.cnf.gz.no_w.cnf, 1377, 2176
cnf/soos/or-60-5-5-UC-20.cnf.gz.no_w.cnf, 120, 300
cnf/soos/or-100-10-6-UC-40.cnf.gz.no_w.cnf, 200, 500
cnf/soos/ConcreteActivityService.sk_13_28.cnf.gz.no_w.cnf, 2481, 9011
cnf/soos/90-21-2-q.cnf.gz.no_w.cnf, 2121, 3360
cnf/soos/modexp8-6-5.cnf.gz.no_w.cnf, 126833, 498926
cnf/soos/herman9.pm_20steps_6int_1fract_stable_over.dimacs.gz.no_w.cnf, 83825, 42741
cnf/soos/leader_sync4_11.pm_5steps_7int_19fract_elected_neg_over.dimacs.gz.no_w.cnf, 202587, 127006
cnf/soos/or-100-5-2.cnf.gz.no_w.cnf, 200, 500
cnf/soos/brp.pm_14steps_26int_8fract_p1_N=10000000_MAX=4over.dimacs.gz.no_w.cnf, 234427, 167688
cnf/soos/blasted_case_1_ptb_2.cnf.gz.no_w.cnf, 2851, 9506
cnf/soos/or-100-10-6.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-60-20-4-UC-40.cnf.gz.no_w.cnf, 120, 300
cnf/soos/leader_sync4_64.pm_5steps_7int_6fract_elected_over.dimacs.gz.no_w.cnf, 159847, 86861
cnf/soos/or-100-10-10.cnf.gz.no_w.cnf, 200, 500
cnf/soos/11B-2.cnf.gz.no_w.cnf, 32799, 148435
cnf/soos/crowds.pm_15steps_8int_7fract_PCTL_TotalRuns=6_CrowdSize=10over.dimacs.gz.no_w.cnf, 470380, 357994
cnf/soos/90-17-4-q.cnf.gz.no_w.cnf, 1377, 2176
cnf/soos/19.sk_3_48.cnf.gz.no_w.cnf, 6993, 23867
cnf/soos/blasted_case_2_b14_3.cnf.gz.no_w.cnf, 304, 941
cnf/soos/leader_sync3_32.pm_4steps_7int_5fract_elected_under.dimacs.gz.no_w.cnf, 52715, 26809
cnf/soos/or-60-10-3.cnf.gz.no_w.cnf, 120, 300
cnf/soos/or-70-10-1-UC-20.cnf.gz.no_w.cnf, 140, 350
cnf/soos/17B-4.cnf.gz.no_w.cnf, 43258, 194844
cnf/soos/blasted_case44.cnf.gz.no_w.cnf, 173, 651
cnf/soos/75-19-5-q.cnf.gz.no_w.cnf, 1729, 2736
cnf/soos/blasted_TR_b12_1_linear.cnf.gz.no_w.cnf, 1914, 6619
cnf/soos/75-24-5-q.cnf.gz.no_w.cnf, 2784, 4416
cnf/soos/71.sk_3_65.cnf.gz.no_w.cnf, 5670, 14616
cnf/soos/or-60-5-10.cnf.gz.no_w.cnf, 120, 300
cnf/soos/blasted_case24.cnf.gz.no_w.cnf, 65, 190
cnf/soos/80.sk_2_48.cnf.gz.no_w.cnf, 4969, 17060
cnf/soos/blasted_case140.cnf.gz.no_w.cnf, 488, 1222
cnf/soos/75-19-8-q.cnf.gz.no_w.cnf, 1729, 2736
cnf/soos/or-70-10-6.cnf.gz.no_w.cnf, 140, 350
cnf/soos/or-50-5-5-UC-40.cnf.gz.no_w.cnf, 100, 250
cnf/soos/75-18-9-q.cnf.gz.no_w.cnf, 1548, 2448
cnf/soos/90-42-9-q.cnf.gz.no_w.cnf, 8652, 13776
cnf/soos/hash-13-4.cnf.gz.no_w.cnf, 612705, 2460589
cnf/soos/leader_sync4_11.pm_5steps_7int_11fract_elected_over.dimacs.gz.no_w.cnf, 110822, 63429
cnf/soos/or-70-5-2-UC-40.cnf.gz.no_w.cnf, 140, 350
cnf/soos/blasted_TR_b14_3_linear.cnf.gz.no_w.cnf, 1942, 6228
cnf/soos/15A-1.cnf.gz.no_w.cnf, 6713, 28524
cnf/soos/hash16-8.cnf.gz.no_w.cnf, 913593, 3865990
cnf/soos/or-50-5-6.cnf.gz.no_w.cnf, 100, 250
cnf/soos/10B-1.cnf.gz.no_w.cnf, 15390, 68337
cnf/soos/90-14-9-q.cnf.gz.no_w.cnf, 924, 1456
cnf/soos/or-70-10-6-UC-40.cnf.gz.no_w.cnf, 140, 350
cnf/soos/or-100-10-8-UC-30.cnf.gz.no_w.cnf, 200, 500
cnf/soos/75-19-6-q.cnf.gz.no_w.cnf, 1729, 2736
cnf/soos/or-100-10-7.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-60-10-8-UC-10.cnf.gz.no_w.cnf, 120, 300
cnf/soos/75-15-9-q.cnf.gz.no_w.cnf, 1065, 1680
cnf/soos/or-60-10-8-UC-20.cnf.gz.no_w.cnf, 120, 300
cnf/soos/s27_new_7_4.cnf.gz.no_w.cnf, 17, 35
cnf/soos/or-60-10-1.cnf.gz.no_w.cnf, 120, 300
cnf/soos/90-22-2-q.cnf.gz.no_w.cnf, 2332, 3696
cnf/soos/s349_15_7.cnf.gz.no_w.cnf, 285, 829
cnf/soos/or-100-10-1-UC-20.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-60-5-10-UC-40.cnf.gz.no_w.cnf, 120, 300
cnf/soos/hash16-4.cnf.gz.no_w.cnf, 456817, 1933002
cnf/soos/or-70-5-6-UC-40.cnf.gz.no_w.cnf, 140, 350
cnf/soos/or-50-10-1-UC-10.cnf.gz.no_w.cnf, 100, 250
cnf/soos/blasted_squaring50.cnf.gz.no_w.cnf, 500, 1965
cnf/soos/hash-13-2.cnf.gz.no_w.cnf, 613693, 2467141
cnf/soos/53.sk_4_32.cnf.gz.no_w.cnf, 2586, 10747
cnf/soos/50-12-7-q.cnf.gz.no_w.cnf, 672, 1056
cnf/soos/107.sk_3_90.cnf.gz.no_w.cnf, 8948, 40147
cnf/soos/50-14-3-q.cnf.gz.no_w.cnf, 924, 1456
cnf/soos/or-100-10-5-UC-30.cnf.gz.no_w.cnf, 200, 500
cnf/soos/or-70-10-9-UC-40.cnf.gz.no_w.cnf, 140, 350
cnf/soos/or-100-20-6-UC-10.cnf.gz.no_w.cnf, 200, 500
cnf/soos/s820a_15_7.cnf.gz.no_w.cnf, 685, 1987
cnf/soos/05B-2.cnf.gz.no_w.cnf, 19541, 86930
cnf/soos/signedAvg.sk_8_1020.cnf.gz.no_w.cnf, 30335, 91854
cnf/soos/hash-11-6.cnf.gz.no_w.cnf, 519109, 2086659
cnf/soos/or-60-20-2.cnf.gz.no_w.cnf, 120, 300
cnf/soos/75-17-5-q.cnf.gz.no_w.cnf, 1377, 2176
cnf/soos/or-60-10-3-UC-40.cnf.gz.no_w.cnf, 120, 300
cnf/soos/10A-4.cnf.gz.no_w.cnf, 9751, 38101
cnf/soos/diagStencilClean.sk_41_36.cnf.gz.no_w.cnf, 378131, 2110471
cnf/soos/or-100-20-9.cnf.gz.no_w.cnf, 200, 500
cnf/soos/brp.pm_14steps_10int_8fract_p1_N=200_MAX=4over.dimacs.gz.no_w.cnf, 92058, 53094
cnf/soos/SetTest.sk_9_21.cnf.gz.no_w.cnf, 33744, 148948
